"company","quartile","country","economic_sector","sub_industry","pollution","metric","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","wa_10","wa_11","wa_12","wa_13","wa_14","wa_15","wa_16","wa_17","wa_18","wa_19","wa_20"
"FERROVIAL SA","Huge","Spain","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",11.44,26.01,NA,69.72,NA,72.1,NA,NA,NA,NA,NA,0.261235979306115,0.290053883055516,NA,0.819962876762194,NA,0.894384152839531,NA,NA,NA,NA,NA
"FLSMIDTH & CO A/S","Large","Denmark","Basic Materials","Construction Machinery & Heavy Transportation Equipment","polluter","DIVIDEND PAYOUT PER SHARE",36.89,33.09,35.86,NA,54.8,46.55,56.73,NA,70.16,0,47.76,0.446978682378669,0.43199408015509,0.586420655465335,NA,0.737016575063568,0.556766271308584,0.636149370798692,NA,0.700661094376453,0,0.441013597160743
"FOMENTO CONSTRUCCION","Large","Spain","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",44.55,NA,0,0,0,0,0,0,60.17,57.74,61.02,0.527686390313465,NA,0,0,0,0,0,0,0.289612998188847,0.320537826378641,0.359520098951825
"FRAPORT AG","Medium","Germany","Industrials","Airport Services","non-polluter","DIVIDEND PAYOUT PER SHARE",43.71,47.71,48.27,52.13,53.06,45.06,36.9,41.96,38.99,0,0,0.221022967292775,0.233037918027162,0.244979378145821,0.270623642548391,0.252621324923594,0.204169476455341,0.158997414706906,0.226804990637452,0.215662037951357,0,0
"HAMBURGER HAFEN","Small","Germany","Industrials","Marine Ports & Services","non-polluter","DIVIDEND PAYOUT PER SHARE",52.38,52.85,65.26,60.3,64.22,64.38,58.78,60.13,51.84,49.31,77.41,0.0488198884538372,0.0503361260019284,0.0595905729585198,0.0560112781764968,0.0587035234971104,0.055898982480968,0.0495935834864421,0.0526523706396834,0.0475905423878915,0.0568307001562838,0.0911624558005202
"HEIDELBERGCEMENT AG","Huge","Germany","Basic Materials","Construction Materials","polluter","DIVIDEND PAYOUT PER SHARE",13.66,18.82,29.26,15.09,29.01,30.53,42.58,31.96,36.45,10.91,NA,0.204484326157631,0.286921846510381,0.426750642891593,0.218634240574402,0.422010426836218,0.432698737228576,0.75183181440646,0.544925252758516,0.627697641829469,0.193597815551655,NA
"HELLEN PETR HOLD","Medium","Greece","Energy","Oil & Gas Refining & Marketing","polluter","DIVIDEND PAYOUT PER SHARE",76.27,NA,53.57,0,NA,0,18.54,32.05,NA,95.04,NA,0.288302137420132,NA,0.209295200217343,0,NA,0,0.0640821434436719,0.113798147577526,NA,0.309891465928076,NA
"HOCHTIEF","Large","Germany","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",46.4,0,46.51,63.18,52.18,64.29,52.16,51.62,60.24,NA,69.08,0.378528366425477,0,0.411099946596379,0.506243360160259,0.413599907108502,0.432938663068657,0.349958355485134,0.341115167688006,0.419232966705692,NA,0.546655989772257
"IMERYS","Small","France","Basic Materials","Construction Materials","polluter","DIVIDEND PAYOUT PER SHARE",37.62,40,38.73,49.95,46.25,NA,50.27,44.53,30.44,NA,NA,0.0913127238460297,0.103985351994526,0.0975002318345579,0.132340798272418,0.13208089992062,NA,0.162729234060287,0.164662796631485,0.11057032163945,NA,NA
"INDRA SISTEMAS SA","Small","Spain","Technology","IT Consulting & Other Services","non-polluter","DIVIDEND PAYOUT PER SHARE",58.6,61.08,42.07,48.18,0,0,0,0,0,0,0,0.0949782485570307,0.110117208640189,0.0799572606734054,0.0973545153551981,0,0,0,0,0,0,0
"JOHNSON CONTROLS INT","Large","Ireland","Industrials","Building Products","polluter","DIVIDEND PAYOUT PER SHARE",28.73,33.67,NA,46.95,19.06,80.41,NA,55.27,43.73,16.54,82.78,0.413778932938765,0.461377676374044,NA,0.313057168414419,0.119305618340551,0.509316245108526,NA,1.43635652515034,1.03604315237247,0.324263708302938,1.62424200382969
